r_id,r_c_id,r_start_date,r_end_date,hours,total_cost,r_p_id,r_e_id
1,2247,2024-01-01 08:04:00,2024-01-01 09:04:00,,,10001,102
2,3816,2024-01-01 11:53:00,2024-01-01 13:53:00,,,10002,102
3,2622,2024-01-01 17:10:00,2024-01-01 20:10:00,,,10003,104
4,448,2024-01-02 07:51:00,2024-01-02 11:51:00,,,10004,105
5,1105,2024-01-02 10:13:00,2024-01-02 12:13:00,,,10005,105
6,3952,2024-01-03 09:41:00,2024-01-03 11:41:00,,,10006,103
7,717,2024-01-03 11:46:00,2024-01-03 12:46:00,,,10007,103
8,1086,2024-01-03 15:08:00,2024-01-03 17:08:00,,,10008,111
9,2447,2024-01-04 09:17:00,2024-01-04 10:17:00,,,10009,109
10,3480,2024-01-04 16:11:00,2024-01-04 19:11:00,,,10010,107
11,1695,2024-01-04 17:01:00,2024-01-04 21:01:00,,,10011,107
12,4645,2024-01-04 18:34:00,2024-01-04 20:34:00,,,10012,107
13,3957,2024-01-05 09:00:00,2024-01-05 11:00:00,,,10013,112
14,3991,2024-01-05 10:10:00,2024-01-05 14:10:00,,,10014,112
15,3162,2024-01-05 15:07:00,2024-01-05 17:07:00,,,10015,106
16,4578,2024-01-05 17:06:00,2024-01-05 20:06:00,,,10016,106
17,138,2024-01-05 18:45:00,2024-01-05 21:45:00,,,10017,106
18,1706,2024-01-06 11:23:00,2024-01-06 13:23:00,,,10018,107
19,4964,2024-01-06 14:20:00,2024-01-06 17:20:00,,,10019,104
20,802,2024-01-06 14:23:00,2024-01-06 16:23:00,,,10020,109
21,2275,2024-01-06 14:26:00,2024-01-06 16:26:00,,,10021,109
22,1792,2024-01-06 14:57:00,2024-01-06 16:57:00,,,10022,104
23,1161,2024-01-06 16:55:00,2024-01-06 17:55:00,,,10023,104
24,3488,2024-01-06 17:15:00,2024-01-06 19:15:00,,,10024,101
25,2482,2024-01-06 17:45:00,2024-01-06 18:45:00,,,10025,104
26,2295,2024-01-06 20:40:00,2024-01-06 22:00:00,,,10026,101
27,81,2024-01-06 20:46:00,2024-01-06 22:00:00,,,10027,104
28,991,2024-01-07 07:19:00,2024-01-07 10:19:00,,,10028,111
29,4692,2024-01-07 11:56:00,2024-01-07 12:56:00,,,10029,111
30,3657,2024-01-07 14:08:00,2024-01-07 15:08:00,,,10030,112
31,3875,2024-01-07 14:50:00,2024-01-07 16:50:00,,,10031,109
32,3538,2024-01-07 16:39:00,2024-01-07 17:39:00,,,10032,112
33,4359,2024-01-07 16:51:00,2024-01-07 19:51:00,,,10033,112
34,2421,2024-01-07 18:33:00,2024-01-07 19:33:00,,,10034,105
35,4210,2024-01-07 19:43:00,2024-01-07 21:43:00,,,10035,109
36,2098,2024-01-08 11:32:00,2024-01-08 12:32:00,,,10036,101
37,2942,2024-01-08 19:50:00,2024-01-08 21:50:00,,,10037,112
38,1910,2024-01-09 16:32:00,2024-01-09 18:32:00,,,10038,112
39,4956,2024-01-09 19:57:00,2024-01-09 21:57:00,,,10039,111
