b_id,b_type,b_model,b_rate,b_availability
101,Adult,Trek Verve 2,10,1
102,Adult,Giant Escape 3,10,1
103,Adult,Giant Escape 3,10,1
104,Adult,Trek Verve 2,10,1
105,Adult,Giant Escape 3,10,1
106,Adult,Marin Presidio,10,1
107,Adult,Giant Escape 3,10,1
108,Adult,Giant Escape 3,10,1
109,Adult,Trek Verve 2,10,1
110,Adult,Giant Escape 3,10,1
111,Adult,Giant Escape 3,10,1
112,Adult,Giant Escape 3,10,1
113,Adult,Trek Verve 2,10,1
114,Adult,Giant Escape 3,10,1
115,Adult,Marin Presidio,10,1
116,Adult,Trek Verve 2,10,1
117,Adult,Marin Presidio,10,1
118,Adult,Marin Presidio,10,1
119,Adult,Giant Escape 3,10,1
120,Adult,Trek Verve 2,10,1
121,Adult,Trek Verve 2,10,1
122,Adult,Marin Presidio,10,1
123,Adult,Trek Verve 2,10,1
124,Adult,Marin Presidio,10,1
125,Adult,Giant Escape 3,10,1
126,Adult,Trek Verve 2,10,1
127,Adult,Trek Verve 2,10,1
128,Adult,Giant Escape 3,10,1
129,Adult,Marin Presidio,10,1
130,Adult,Marin Presidio,10,1
201,Child,Woom 4,8,1
202,Child,Specialized Riprock,8,1
203,Child,Specialized Riprock,8,1
204,Child,Woom 4,8,1
205,Child,Woom 4,8,1
206,Child,Specialized Riprock,8,1
207,Child,Trek Precaliber,8,1
208,Child,Trek Precaliber,8,1
209,Child,Woom 4,8,1
210,Child,Specialized Riprock,8,1
211,Child,Specialized Riprock,8,1
212,Child,Woom 4,8,1
213,Child,Specialized Riprock,8,1
214,Child,Woom 4,8,1
215,Child,Specialized Riprock,8,1
216,Child,Woom 4,8,1
217,Child,Trek Precaliber,8,1
218,Child,Trek Precaliber,8,1
219,Child,Specialized Riprock,8,1
220,Child,Woom 4,8,1
301,Electric,Trek Allant+,18,1
302,Electric,Aventon Pace 500,18,1
303,Electric,Trek Allant+,18,1
304,Electric,Trek Allant+,18,1
305,Electric,Aventon Pace 500,18,1
306,Electric,Rad Power RadRunner,18,1
307,Electric,Trek Allant+,18,1
308,Electric,Rad Power RadRunner,18,1
309,Electric,Trek Allant+,18,1
310,Electric,Aventon Pace 500,18,1
311,Electric,Rad Power RadRunner,18,1
312,Electric,Aventon Pace 500,18,1
313,Electric,Trek Allant+,18,1
314,Electric,Aventon Pace 500,18,1
315,Electric,Aventon Pace 500,18,1
401,Road,Specialized Allez,12,1
402,Road,Giant Contend,12,1
403,Road,Specialized Allez,12,1
404,Road,Specialized Allez,12,1
405,Road,Specialized Allez,12,1
406,Road,Cannondale Synapse,12,1
407,Road,Cannondale Synapse,12,1
408,Road,Giant Contend,12,1
409,Road,Cannondale Synapse,12,1
410,Road,Giant Contend,12,1
411,Road,Giant Contend,12,1
412,Road,Giant Contend,12,1
413,Road,Specialized Allez,12,1
414,Road,Cannondale Synapse,12,1
415,Road,Cannondale Synapse,12,1
501,Tandem,Co-Motion Periscope,18,1
502,Tandem,Cannondale Tandem 29,18,1
503,Tandem,Cannondale Tandem 29,18,1
504,Tandem,Co-Motion Periscope,18,1
505,Tandem,Cannondale Tandem 29,18,1
506,Tandem,Cannondale Tandem 29,18,1
507,Tandem,Co-Motion Periscope,18,1
508,Tandem,Co-Motion Periscope,18,1
509,Tandem,Co-Motion Periscope,18,1
510,Tandem,Co-Motion Periscope,18,1
511,Tandem,Co-Motion Periscope,18,1
512,Tandem,Cannondale Tandem 29,18,1
513,Tandem,Cannondale Tandem 29,18,1
514,Tandem,Cannondale Tandem 29,18,1
515,Tandem,Co-Motion Periscope,18,1
601,Racing,Specialized Tarmac,18,1
602,Racing,Specialized Tarmac,18,1
603,Racing,Pinarello Dogma,18,1
604,Racing,Pinarello Dogma,18,1
605,Racing,Specialized Tarmac,18,1
