m_id,m_bike_id,m_start_date,m_end_date,m_type
1,123,2024-01-02,2024-01-02,Brake Adjustment
2,304,2024-01-02,2024-01-02,Brake Adjustment
3,604,2024-01-03,2024-01-04,Frame Inspection
4,408,2024-01-05,2024-01-05,Brake Adjustment
5,208,2024-01-05,2024-01-05,Tire/Tube
6,115,2024-01-06,2024-01-06,Chain Lubrication
7,116,2024-01-06,2024-01-06,General Inspection
8,507,2024-01-07,2024-01-07,Tire/Tube
9,115,2024-01-07,2024-01-07,General Inspection
10,503,2024-01-07,2024-01-07,Timing Chain Check
11,109,2024-01-08,2024-01-08,Brake Adjustment
12,219,2024-01-09,2024-01-09,Chain Lubrication
13,216,2024-01-10,2024-01-10,Chain Lubrication
14,123,2024-01-10,2024-01-10,Brake Adjustment
15,410,2024-01-14,2024-01-15,Derailleur Tune-up
16,102,2024-01-15,2024-01-15,Tire/Tube
17,304,2024-01-15,2024-01-15,Tire/Tube
18,216,2024-01-15,2024-01-15,Handlebar Adjustment
19,406,2024-01-16,2024-01-16,Brake Adjustment
20,304,2024-01-18,2024-01-19,Battery Service
21,414,2024-01-20,2024-01-20,Brake Adjustment
22,303,2024-01-22,2024-01-22,Tire/Tube
23,315,2024-01-22,2024-01-22,Motor Check
24,310,2024-01-22,2024-01-22,Tire/Tube
25,514,2024-01-22,2024-01-22,Brake Adjustment
26,315,2024-01-27,2024-01-28,Battery Service
27,213,2024-01-28,2024-01-28,Tire/Tube
28,312,2024-01-28,2024-01-29,Battery Service
29,510,2024-01-28,2024-01-28,Timing Chain Check
30,210,2024-02-02,2024-02-02,Handlebar Adjustment
31,215,2024-02-03,2024-02-03,Chain Lubrication
32,605,2024-02-08,2024-02-09,Derailleur Tune-up
33,515,2024-02-09,2024-02-09,Tire/Tube
34,315,2024-02-11,2024-02-11,Brake Adjustment
35,202,2024-02-11,2024-02-11,Tire/Tube
36,313,2024-02-12,2024-02-12,Brake Adjustment
37,407,2024-02-12,2024-02-12,Tire/Tube
38,401,2024-02-12,2024-02-12,Tire/Tube
39,105,2024-02-12,2024-02-12,General Inspection
40,123,2024-02-14,2024-02-14,Chain Lubrication
41,412,2024-02-15,2024-02-16,Derailleur Tune-up
42,210,2024-02-17,2024-02-17,Handlebar Adjustment
43,104,2024-02-19,2024-02-19,General Inspection
44,405,2024-02-19,2024-02-19,Brake Adjustment
45,112,2024-02-19,2024-02-19,Tire/Tube
46,203,2024-02-22,2024-02-22,Chain Lubrication
47,108,2024-02-24,2024-02-24,Chain Lubrication
48,314,2024-02-25,2024-02-25,Brake Adjustment
49,511,2024-02-26,2024-02-26,Tire/Tube
50,502,2024-02-26,2024-02-26,Timing Chain Check
51,201,2024-02-28,2024-02-28,Tire/Tube
52,101,2024-02-29,2024-02-29,Brake Adjustment
53,205,2024-03-02,2024-03-02,Handlebar Adjustment
54,505,2024-03-02,2024-03-02,Tire/Tube
55,125,2024-03-03,2024-03-03,Tire/Tube
56,506,2024-03-03,2024-03-03,Brake Adjustment
57,204,2024-03-03,2024-03-03,Tire/Tube
58,505,2024-03-04,2024-03-04,Tire/Tube
59,112,2024-03-05,2024-03-05,Brake Adjustment
60,215,2024-03-06,2024-03-06,Tire/Tube
61,311,2024-03-08,2024-03-09,Battery Service
62,406,2024-03-09,2024-03-09,Tire/Tube
63,410,2024-03-09,2024-03-10,Derailleur Tune-up
64,512,2024-03-10,2024-03-10,Timing Chain Check
65,125,2024-03-10,2024-03-10,General Inspection
66,404,2024-03-10,2024-03-10,Brake Adjustment
67,108,2024-03-10,2024-03-10,Tire/Tube
68,308,2024-03-11,2024-03-11,Motor Check
69,414,2024-03-11,2024-03-12,Derailleur Tune-up
70,122,2024-03-11,2024-03-11,General Inspection
71,314,2024-03-11,2024-03-11,Motor Check
72,117,2024-03-15,2024-03-15,General Inspection
73,309,2024-03-17,2024-03-17,Brake Adjustment
74,511,2024-03-17,2024-03-17,Timing Chain Check
75,219,2024-03-17,2024-03-17,Chain Lubrication
76,128,2024-03-17,2024-03-17,General Inspection
77,503,2024-03-18,2024-03-18,Brake Adjustment
78,207,2024-03-18,2024-03-18,Tire/Tube
79,117,2024-03-18,2024-03-18,General Inspection
80,108,2024-03-18,2024-03-18,Brake Adjustment
81,203,2024-03-19,2024-03-19,Handlebar Adjustment
82,121,2024-03-20,2024-03-20,Tire/Tube
83,121,2024-03-22,2024-03-22,Tire/Tube
84,507,2024-03-22,2024-03-22,Brake Adjustment
85,119,2024-03-22,2024-03-22,Tire/Tube
86,604,2024-03-22,2024-03-23,Frame Inspection
87,115,2024-03-23,2024-03-23,Tire/Tube
88,315,2024-03-23,2024-03-23,Motor Check
89,106,2024-03-23,2024-03-23,Tire/Tube
90,207,2024-03-24,2024-03-24,Tire/Tube
91,125,2024-03-24,2024-03-24,Tire/Tube
92,105,2024-03-25,2024-03-25,Chain Lubrication
93,503,2024-03-26,2024-03-26,Tire/Tube
94,307,2024-03-27,2024-03-27,Tire/Tube
95,310,2024-03-27,2024-03-28,Battery Service
96,117,2024-03-28,2024-03-28,Brake Adjustment
97,412,2024-03-28,2024-03-28,Tire/Tube
98,507,2024-03-28,2024-03-28,Timing Chain Check
99,213,2024-03-29,2024-03-29,Chain Lubrication
100,406,2024-03-29,2024-03-30,Derailleur Tune-up
101,113,2024-03-29,2024-03-29,Tire/Tube
102,117,2024-03-30,2024-03-30,Tire/Tube
103,210,2024-03-31,2024-03-31,Chain Lubrication
104,105,2024-03-31,2024-03-31,Tire/Tube
105,106,2024-04-01,2024-04-01,General Inspection
106,107,2024-04-01,2024-04-01,General Inspection
