p_id,p_type,p_date,p_amount,p_c_id,p_e_id
10001,Online,2024-01-01 08:04:00,,2247,102
10002,Credit Card,2024-01-01 11:53:00,,3816,102
10003,Credit Card,2024-01-01 17:10:00,,2622,104
10004,Cash,2024-01-02 07:51:00,,448,105
10005,Credit Card,2024-01-02 10:13:00,,1105,105
10006,Credit Card,2024-01-03 09:41:00,,3952,103
10007,Credit Card,2024-01-03 11:46:00,,717,103
10008,Credit Card,2024-01-03 15:08:00,,1086,111
10009,Credit Card,2024-01-04 09:17:00,,2447,109
10010,Cash,2024-01-04 16:11:00,,3480,107
10011,Cash,2024-01-04 17:01:00,,1695,107
10012,Credit Card,2024-01-04 18:34:00,,4645,107
10013,Credit Card,2024-01-05 09:00:00,,3957,112
10014,Credit Card,2024-01-05 10:10:00,,3991,112
10015,Credit Card,2024-01-05 15:07:00,,3162,106
10016,Credit Card,2024-01-05 17:06:00,,4578,106
10017,Cash,2024-01-05 18:45:00,,138,106
10018,Online,2024-01-06 11:23:00,,1706,107
10019,Credit Card,2024-01-06 14:20:00,,4964,104
10020,Credit Card,2024-01-06 14:23:00,,802,109
10021,Credit Card,2024-01-06 14:26:00,,2275,109
10022,Credit Card,2024-01-06 14:57:00,,1792,104
10023,Credit Card,2024-01-06 16:55:00,,1161,104
10024,Credit Card,2024-01-06 17:15:00,,3488,101
10025,Credit Card,2024-01-06 17:45:00,,2482,104
10026,Credit Card,2024-01-06 20:40:00,,2295,101
10027,Credit Card,2024-01-06 20:46:00,,81,104
10028,Credit Card,2024-01-07 07:19:00,,991,111
10029,Credit Card,2024-01-07 11:56:00,,4692,111
10030,Online,2024-01-07 14:08:00,,3657,112
10031,Credit Card,2024-01-07 14:50:00,,3875,109
10032,Credit Card,2024-01-07 16:39:00,,3538,112
10033,Credit Card,2024-01-07 16:51:00,,4359,112
10034,Credit Card,2024-01-07 18:33:00,,2421,105
10035,Credit Card,2024-01-07 19:43:00,,4210,109
10036,Credit Card,2024-01-08 11:32:00,,2098,101
10037,Online,2024-01-08 19:50:00,,2942,112
10038,Credit Card,2024-01-09 16:32:00,,1910,112
10039,Credit Card,2024-01-09 19:57:00,,4956,111
10040,Online,2024-01-10 07:26:00,,4311,105
10041,Credit Card,2024-01-10 15:45:00,,142,111
10042,Cash,2024-01-10 16:12:00,,833,106
10043,Online,2024-01-11 07:57:00,,841,105
10044,Credit Card,2024-01-11 08:52:00,,3248,106
10045,Credit Card,2024-01-11 09:22:00,,787,105
10046,Cash,2024-01-11 20:23:00,,2315,107
10047,Cash,2024-01-11 20:54:00,,3873,102
10048,Credit Card,2024-01-12 07:29:00,,4816,110
10049,Credit Card,2024-01-12 10:12:00,,1703,110
10050,Credit Card,2024-01-12 12:58:00,,364,101
10051,Credit Card,2024-01-12 14:55:00,,4874,102
10052,Credit Card,2024-01-12 19:44:00,,2286,102
10053,Credit Card,2024-01-12 20:05:00,,2787,103
10054,Credit Card,2024-01-12 20:16:00,,2426,102
10055,Cash,2024-01-13 07:01:00,,4433,109
10056,Online,2024-01-13 11:40:00,,4845,109
10057,Online,2024-01-13 12:32:00,,1361,109
10058,Credit Card,2024-01-13 14:13:00,,3996,109
10059,Credit Card,2024-01-13 16:14:00,,3654,109
10060,Online,2024-01-13 18:00:00,,2509,103
10061,Credit Card,2024-01-13 18:49:00,,4815,103
10062,Credit Card,2024-01-14 07:02:00,,2445,104
10063,Credit Card,2024-01-14 08:46:00,,2088,106
10064,Cash,2024-01-14 08:47:00,,2686,106
10065,Credit Card,2024-01-14 08:53:00,,2047,104
