r_id,b_id
1,123
2,508
2,307
2,304
2,313
3,403
4,604
4,302
4,204
4,501
5,509
6,308
7,113
8,510
8,123
8,602
9,314
10,408
11,407
11,211
11,121
12,216
12,208
13,412
14,211
14,604
15,218
15,211
15,117
16,105
16,505
17,115
17,407
17,116
18,505
18,507
19,405
20,312
20,315
21,402
21,115
22,126
22,510
22,203
23,216
24,503
25,118
25,513
26,202
27,515
27,605
28,111
29,114
29,315
30,505
30,104
31,511
32,403
32,505
33,106
33,415
34,514
35,109
36,219
37,125
38,308
38,123
38,508
39,602
39,216
40,215
40,123
41,205
42,507
43,401
44,402
44,504
45,123
45,201
46,126
47,129
47,111
48,109
49,127
50,102
51,415
52,411
53,415
54,117
55,113
56,410
57,212
58,120
58,116
58,408
59,114
60,112
61,108
62,128
62,314
63,513
63,505
64,102
64,509
65,105
66,304
66,408
66,313
66,502
67,406
67,103
67,206
67,216
68,210
68,311
69,105
70,220
70,405
71,507
71,401
71,403
71,121
72,406
73,401
74,110
75,304
75,407
76,117
76,209
76,109
77,208
78,414
78,305
79,408
80,403
80,506
81,508
81,106
82,408
83,605
83,507
84,503
84,511
84,207
85,110
86,414
87,105
88,208
88,124
88,126
89,403
90,306
91,214
92,501
93,511
94,404
94,305
94,109
94,121
95,313
95,118
96,602
97,102
98,303
99,506
99,315
99,219
100,310
100,514
101,205
102,506
102,308
103,401
104,404
104,507
105,209
105,312
106,514
106,501
106,505
107,105
108,210
108,116
109,303
109,115
110,102
111,118
111,509
111,301
111,209
112,505
112,216
112,130
113,505
114,210
114,114
115,409
115,310
116,130
117,107
118,415
119,507
119,311
120,315
121,314
122,127
122,314
122,130
123,303
123,504
123,406
124,208
125,203
126,116
127,510
127,212
128,216
129,213
129,205
129,214
129,511
130,312
131,410
132,603
133,107
133,306
134,113
135,215
135,102
136,109
137,315
138,605
139,309
140,603
141,108
142,409
142,605
143,103
143,218
143,219
144,214
145,220
145,201
146,511
147,401
147,106
148,126
149,403
150,207
150,210
151,512
151,121
151,509
152,502
153,108
153,203
153,121
154,124
154,215
155,104
156,412
157,106
157,601
158,605
159,412
159,603
160,201
161,415
162,122
163,304
163,115
163,212
163,103
164,208
165,217
165,201
165,111
165,313
166,310
167,404
167,126
168,502
169,124
169,121
170,125
171,604
171,305
172,207
173,410
173,107
173,124
174,414
175,305
176,605
177,406
178,130
179,112
180,408
180,314
181,602
181,515
181,210
181,514
182,215
183,105
184,112
185,601
186,106
186,207
187,219
188,130
188,504
189,508
189,409
190,104
190,409
190,315
191,122
192,130
192,211
192,203
193,502
194,125
195,202
196,605
197,313
197,601
198,407
199,504
199,311
200,112
200,305
200,208
201,401
202,105
202,103
202,120
203,125
203,122
203,514
204,509
204,402
205,126
205,220
205,216
205,127
206,409
206,501
207,403
208,126
209,123
210,412
211,123
212,305
213,604
214,111
215,220
216,508
217,602
217,301
218,309
219,501
220,210
221,101
221,105
221,110
222,501
222,408
222,119
223,604
223,130
223,509
224,118
224,210
225,511
226,119
226,508
227,211
228,405
229,413
230,311
231,405
231,106
231,130
232,415
232,602
233,112
233,104
234,310
235,215
236,307
236,125
237,216
238,504
238,315
239,203
239,102
239,604
239,114
240,119
240,213
240,408
241,127
242,515
243,207
244,309
244,510
245,501
246,211
246,119
247,112
248,106
248,408
248,502
249,411
250,503
250,129
251,603
251,112
251,302
252,108
253,409
254,312
255,201
256,515
256,314
257,514
257,511
257,104
258,307
259,206
259,501
259,411
260,213
260,601
261,103
262,208
263,403
264,305
265,121
265,511
266,502
267,206
268,102
268,202
269,506
269,203
270,121
270,505
271,506
271,406
271,308
271,124
271,201
272,116
272,301
273,125
273,121
274,501
274,101
275,114
275,413
276,104
277,205
278,504
279,219
279,125
280,310
281,211
281,603
281,206
282,112
282,513
282,505
283,406
284,315
284,411
285,506
285,407
286,410
286,110
287,308
288,505
288,124
288,205
289,216
